Mandarin Headline,English Headline,Content Link,Archive Link,Status,Translator,Link to Translation
湖北与武汉红会，物资捐赠卡在了这里？,Are Wuhan Red Cross and Hubei Red Cross Stopping Resource Donations?,https://mp.weixin.qq.com/s/CcP9ECRX80nCKvJxcRMDXw,https://web.archive.org/save/https://mp.weixin.qq.com/s/CcP9ECRX80nCKvJxcRMDXw,Untranslated,,
有家难回：新冠肺炎制造的“北漂”,Not Able to Return Home: “Beijing Drifters” Made by Novel Pneumonia ,https://mp.weixin.qq.com/s/iNLE576BAhJocqqT9CoGLg,https://web.archive.org/save/https://mp.weixin.qq.com/s/iNLE576BAhJocqqT9CoGLg,Untranslated,,
“封城”十天 | 摄影镜头下的武汉,Ten Days in City Shutdown: Wuhan Through the Lens,https://mp.weixin.qq.com/s/LTLq3ODjB0Rc86x8-ds3ig,https://web.archive.org/web/20200203035410/https://mp.weixin.qq.com/s/LTLq3ODjB0Rc86x8-ds3ig,Untranslated,,
试剂盒供不应求，武汉新型冠状病毒肺炎确诊之难,"Test Kit Supplies Don’t Meet Demand, the Difficulty Getting Diagnosed with 2019-nCoV",https://mp.weixin.qq.com/s/Jazc0sbrp8ozVScWm3ksfQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/Jazc0sbrp8ozVScWm3ksfQ,Untranslated,,
除夕夜，他们在武汉 ,"Lunar New Year’s Eve, They Are in Wuhan",https://mp.weixin.qq.com/s/ibJV7JcZ3S_O5zIGbIxxWw,https://web.archive.org/save/https://mp.weixin.qq.com/s/ibJV7JcZ3S_O5zIGbIxxWw,Untranslated,,
黄冈，一个武汉周边城市的疫情防控样本,Huanggang: A Sample of How a City Near Wuhan Prevents and Controls the Disease,https://mp.weixin.qq.com/s/RPeN7j0MNUyq8PwXL5-f6A,https://web.archive.org/save/https://mp.weixin.qq.com/s/RPeN7j0MNUyq8PwXL5-f6A,Untranslated,,
疾病袭城，武汉的医生们正在经历些什么?,"Disease in Town, What Are Wuhan Doctors Going Through?",https://mp.weixin.qq.com/s/HOsZ7hY5fNp-ts5FkNN35A,https://web.archive.org/save/https://mp.weixin.qq.com/s/HOsZ7hY5fNp-ts5FkNN35A,Untranslated,,
他拉着10万只口罩，开往已经封城的武汉 ,He Drives 100 Thousand Masks to Quarantined Wuhan,https://mp.weixin.qq.com/s/Jj9_tZbP71lUqdNWubHUbg,https://web.archive.org/save/https://mp.weixin.qq.com/s/Jj9_tZbP71lUqdNWubHUbg,Untranslated,,
口罩为什么会短缺？,Why a Shortage in Masks?,https://mp.weixin.qq.com/s/VxH2jtybFOBDNfAGMOTOuw,https://web.archive.org/web/20200203034622/https://mp.weixin.qq.com/s/VxH2jtybFOBDNfAGMOTOuw,Untranslated,,
经过这次，我最担心的是武汉人的心理创伤」,"“After All This, My Biggest Worry is Wuhan People’s Trauma”",https://mp.weixin.qq.com/s/oBeiNF-SHbad2hWxbeDIKw,https://web.archive.org/web/20200203034617/https://mp.weixin.qq.com/s/oBeiNF-SHbad2hWxbeDIKw,Untranslated,,
曾在华南海鲜市场打工，荆州第一例治愈者口述：我是幸运的 ,The First Cured Patient Who Used to Work at Huanan Seafood Market: “I Am Lucky.”,https://mp.weixin.qq.com/s/rlq3hIMQ24Ch7oJnSuI4BQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/rlq3hIMQ24Ch7oJnSuI4BQ,Untranslated,,
送走奶奶和爸爸，武汉女孩的漫长一月,"Grandma and Father Passed Away, a Long January for This Wuhan Girl",https://mp.weixin.qq.com/s/EdU3VMccPlyfSeRJbP7hfQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/EdU3VMccPlyfSeRJbP7hfQ,Untranslated,,
武汉被打医生：我从来没有让自己崩溃 ,The Wuhan Doctor Who Was Assaulted: I Am Not Letting Myself Have a Mental Breakdown,https://mp.weixin.qq.com/s/tgAhZex2ttWME2Hwsie_-Q,https://web.archive.org/save/https://mp.weixin.qq.com/s/tgAhZex2ttWME2Hwsie_-Q,Untranslated,,
民间组织疯狂捐赠，为什么武汉的医院还缺物资？,"The Public Donated a Lot, So Why Are Wuhan Hospitals Still Short on Medical Resources?",https://mp.weixin.qq.com/s/kwTrelshPSC6sedzK5yuhA,https://web.archive.org/save/https://mp.weixin.qq.com/s/kwTrelshPSC6sedzK5yuhA,Untranslated,,
断药危机：封城封村之后的艾滋感染者,Medicine Shortage Crisis: HIV Positive People in Quarantined Areas,https://mp.weixin.qq.com/s/usMxDjsw_AbiIklg4piLIQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/usMxDjsw_AbiIklg4piLIQ,Untranslated,,
外卖订单里的武汉：穿越隔离的爱情、亲情和勇气 ,"Wuhan Seen Through Food Delivery Orders: Love, Families and Courage Beyond Quarantine",https://mp.weixin.qq.com/s/usyes_zthtlMG1SxVVHAhQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/usyes_zthtlMG1SxVVHAhQ,Untranslated,,
武汉的除夕夜，我一个人在家自行观察 ,"Lunar New Year’s Eve in Wuhan, I Quarantined Myself at Home",https://mp.weixin.qq.com/s/U4IrYQcPc6G-ce9X5eRE_g,https://web.archive.org/save/https://mp.weixin.qq.com/s/U4IrYQcPc6G-ce9X5eRE_g,Untranslated,,
父亲双肺感染严重，然而一床难求,"Father’s Lungs Are Seriously Infected, but We Can’t Get a Bed in a Hospital",https://mp.weixin.qq.com/s/_jOl6mDa-BzCknUwGLaj3Q,https://web.archive.org/save/https://mp.weixin.qq.com/s/_jOl6mDa-BzCknUwGLaj3Q,Untranslated,,
一个武汉隔离病房护士的自述,Verbal Account From a Quarantine Room Nurse at a Wuhan Hospital,https://mp.weixin.qq.com/s/WZ3sotusU6FX-eXcN5MrnA,https://web.archive.org/save/https://mp.weixin.qq.com/s/p-uPky_zB6XKcAetthqkKg,Untranslated,,
妈妈在武汉隔离病房去世,My Mother Passed Away in Hospital’s Quarantine Room,https://w.url.cn/s/AgccKPT,https://d26g9c7mfuzstv.cloudfront.net/ipfs/Qmex17os2z837RnYjKbNE9yZUbkenkdzPWfCNiLNC7tz3b/,Untranslated,,
寻药的武汉护士: 虽然怕，但我们愿意守护这座城,"Wuhan Nurse Searches for Medicine: We Are Scared, but We Want to Protect the City",https://mp.weixin.qq.com/s/Xl-uXGHEYUC-FBkLoaIJuw,https://web.archive.org/save/https://mp.weixin.qq.com/s/Xl-uXGHEYUC-FBkLoaIJuw,Untranslated,,
武汉：一条与肺炎赛跑的餐饮供应链,A Food Supply Chain in Wuhan That Is Racing Against Pneumonia,https://mp.weixin.qq.com/s/__CNpvaXb7EoVPT0vSOjdg,https://web.archive.org/save/https://mp.weixin.qq.com/s/__CNpvaXb7EoVPT0vSOjdg,Untranslated,,
一辆载着15万副医用手套的车向武汉开去 ,Driving 150 Thousand Pairs of Medical Gloves Into Wuhan,https://mp.weixin.qq.com/s/qCY1T3MV0_hTvlGxQBlQa,,Untranslated,,
疫情中一夜长大的少年,The Teenager Who Grows Up Overnight Amid Epidemic,https://mp.weixin.qq.com/s/9Li-0f3IjRsWVr6rwcT37A,https://web.archive.org/save/https://mp.weixin.qq.com/s/9Li-0f3IjRsWVr6rwcT37A,Untranslated,,
10000个临时发往武汉的口罩,10 Thousand Masks Sent to Wuhan,https://mp.weixin.qq.com/s/p-uPky_zB6XKcAetthqkKg,https://web.archive.org/save/https://mp.weixin.qq.com/s/p-uPky_zB6XKcAetthqkKg,Untranslated,,
我家离华南海鲜市场很近：返乡、封城、过年，一位武汉大学生的过去一周 ,"My Home Is Close to Huanan Seafood Market: Return to My Village, Lockdown, Lunar New Year –– One Wuhan College Student’s Week",https://mp.weixin.qq.com/s/n7dXGHh-79d6VEzDhhOUbQ,https://web.archive.org/web/20200203025743/https://mp.weixin.qq.com/s/n7dXGHh-79d6VEzDhhOUbQ,Untranslated,,
孝感前线医生：武汉更难，我们下面不好意思提要求,"Doctors in Xiaogan at Front Line: It’s More Difficult in Wuhan, We Lower-Level Cities Are Too Shy to Make Requests ",https://mp.weixin.qq.com/s/uGaFeqrqmLBQe5qdRSTeSQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/uGaFeqrqmLBQe5qdRSTeSQ,Untranslated,,
疫情危机中不被看见的人们：武汉周边城市百姓的自救行动 ,The Unseens Amid Epidemic Crisis: How People Save Themselves in Wuhan’s Surrounding Cities,https://mp.weixin.qq.com/s/D8Ob8pNmecHKXg7yR7EWFg,https://web.archive.org/save/https://mp.weixin.qq.com/s/D8Ob8pNmecHKXg7yR7EWFg,Untranslated,,
恐慌很正常，当疫情结束，才是心理问题高发期,"Fear Is Normal, the Peak of Mental Issues Will Be After Epidemic",https://mp.weixin.qq.com/s/3Ox4w365hKqDU-_MAZJmbg,https://web.archive.org/save/https://mp.weixin.qq.com/s/3Ox4w365hKqDU-_MAZJmbg,Untranslated,,
疫情中的心理援助：寻找局部的安全,Mental Help During Epidemic: Search for Partial Sense of Security,https://mp.weixin.qq.com/s/s3uvlWVUJ5ySuTvDlu_TxA,https://web.archive.org/save/https://mp.weixin.qq.com/s/s3uvlWVUJ5ySuTvDlu_TxA,Untranslated,,
外卖骑手、出租车司机、快递员、志愿者……封城九日，他们维护着武汉的血脉 ,"Food Delivery Workers, Taxi Drivers,  Delivery Staff, Volunteers … Nine Days in City Lockdown, They Protect Wuhan’s Bloodline",https://mp.weixin.qq.com/s/fYDPoKsPZ78oxqXBDFHIcw,https://web.archive.org/save/https://mp.weixin.qq.com/s/fYDPoKsPZ78oxqXBDFHIcw,Untranslated,,
武汉封城后的宠物营救计划：人类犯错的后果，不该由它们承担,Pet Rescue Project in Quarantined Wuhan: Animals Shouldn’t Bear the Consequences of Human’s Fault,https://mp.weixin.qq.com/s/Z8b1ULpnAQwIOzyZmA7xHA,https://web.archive.org/save/https://mp.weixin.qq.com/s/Z8b1ULpnAQwIOzyZmA7xHA,Untranslated,,
鸡在瘟疫蔓延时,Chickens Amid the Spread of an Epidemic,https://mp.weixin.qq.com/s/yJ2ygq2NrMAhTFWYZsC3QA,https://web.archive.org/save/https://mp.weixin.qq.com/s/yJ2ygq2NrMAhTFWYZsC3QA,Untranslated,,
无法离开武汉的年关24小时,New Year 24 Hours for Those Who Stuck in Wuhan,https://mp.weixin.qq.com/s/XJMu31nimG-7gGJtz6klzg,https://web.archive.org/save/https://mp.weixin.qq.com/s/XJMu31nimG-7gGJtz6klzg,Untranslated,,
无法团年的武汉家庭：这时候你才发现亲情之重,The Wuhan Families That Couldn't Reunite: Only Until Then You Start to Value Families,https://mp.weixin.qq.com/s/31lhYygEyk5skCF-JteFJQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/31lhYygEyk5skCF-JteFJQ,Untranslated,,
河南硬核防疫下的“武汉”归乡人,Henan People Returning From Wuhan to Hometown’s Heavy Disease Control,https://mp.weixin.qq.com/s/DbNrElRwx3Z_uSP0cSHabw,https://web.archive.org/save/https://mp.weixin.qq.com/s/DbNrElRwx3Z_uSP0cSHabw,Untranslated,,
湖北夫妇的狼狈返程：从三亚绕到义乌，被连夜隔离,"A Hubei Couple’s Difficult Trip Home: From Sanya to Yiwu, and Quarantined Overnight",https://mp.weixin.qq.com/s/G9rgy-elj01EJzAGb_y8xw,https://web.archive.org/save/https://mp.weixin.qq.com/s/G9rgy-elj01EJzAGb_y8xw,Untranslated,,
上海亲历者：名古屋机场冲突始末,A Shanghainese Witness: A Fight at Nagoya Airport,https://mp.weixin.qq.com/s/wuDd2py-bzZ1Yiq1G42pMA,https://web.archive.org/save/https://mp.weixin.qq.com/s/wuDd2py-bzZ1Yiq1G42pMA,Untranslated,,
湖北亲历者：我不希望再引起地域之争,A Hubeinese Witness: I Don’t Want to Start a Fight Over One’s Origin,https://mp.weixin.qq.com/s/T2MW5nPgEuR5rzMV2IdGAw,https://web.archive.org/web/20200203034852/https://mp.weixin.qq.com/s/T2MW5nPgEuR5rzMV2IdGAw,Untranslated,,
去留两难湖北人：我也不愿意连累任何人,“Stay or Go” Dilemma for Hubeinese: I Don’t Want to Give Others Trouble,https://mp.weixin.qq.com/s/eyjEBu4iby4d1f35SjcwCg,https://web.archive.org/web/20200203034855/https://mp.weixin.qq.com/s/eyjEBu4iby4d1f35SjcwCg,Untranslated,,
被疫情封门之后,After the Epidemic Shut the Door,https://mp.weixin.qq.com/s/iVB2mcOtQfKwT_viEZqZ6g,https://web.archive.org/save/https://mp.weixin.qq.com/s/iVB2mcOtQfKwT_viEZqZ6g,Untranslated,,
流落海外武汉人：我只想回家,Wuhan People Drifting Overseas: I Only Want to Go Home,https://mp.weixin.qq.com/s/BhP72wZBS9DqLX8IgTgr_A,https://web.archive.org/web/20200203034932/https://mp.weixin.qq.com/s/BhP72wZBS9DqLX8IgTgr_A,Untranslated,,
突然被延期开学击中的父母,Parents Who Are Troubled by the Delay of School Opening,https://mp.weixin.qq.com/s/KjkYqFEM_De8q3LddOZo5A,https://web.archive.org/save/https://mp.weixin.qq.com/s/KjkYqFEM_De8q3LddOZo5A,Untranslated,,
直击肺炎疫情下的武汉、北京、香港,"Direct From Wuhan, Beijing, Hong Kong Under Coronavirus Epidemic",https://mp.weixin.qq.com/s/g0yMaWd6JbkSp2t79wjh7A,https://web.archive.org/save/https://mp.weixin.qq.com/s/g0yMaWd6JbkSp2t79wjh7A,Untranslated,,
聚焦武汉肺炎疫情：“大众畜牧野味”确实存在，市场休市后才闭店,Wuhan Coronavirus Epidemic in Focus: Shop Selling Game Meat Did Exist; Only Shut Down After Market Closure ,https://mp.weixin.qq.com/s/6CPkhUWzM6f2NxP8rMWNUQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/6CPkhUWzM6f2NxP8rMWNUQ,Untranslated,,
武汉“封城”首日,The First Day of Wuhan Lockdown ,https://mp.weixin.qq.com/s/wsF9JFH2CayADLXqJIS1wg,https://web.archive.org/save/https://mp.weixin.qq.com/s/wsF9JFH2CayADLXqJIS1wg,Untranslated,,
 除夕夜，写下“请战书”的小汤山非典医疗队驰援武汉,"After Signing “Request to Battle” on New Year’s Eve, a Xiaotangshan SARS Medical Team Sprinted to Wuhan  ",http://www.bjnews.com.cn/inside/2020/01/25/679110.html,https://web.archive.org/save/http://www.bjnews.com.cn/inside/2020/01/25/679110.html,Untranslated,,
小汤山医院设计师：没想到图纸再用，希望武汉新医院效果更好,Architect of Xiaotangshan Hospital: Didn’t Expect the Drawings to Be Reused; Hope Wuhan Hospital Will Be More Effective ,https://mp.weixin.qq.com/s/1n-xp71p0D8odkuZhIvfTg,https://web.archive.org/save/https://mp.weixin.qq.com/s/1n-xp71p0D8odkuZhIvfTg,Untranslated,,
绿色通道、通行证、医院证明：医疗捐赠物资出入武汉记,"Green Pass, Travel Permit, and Hospital Certification: How Medical Donations Go in and out of Wuhan ",https://mp.weixin.qq.com/s/R-iXDgYd3ZZLBLiLEzxH9g,https://web.archive.org/save/https://mp.weixin.qq.com/s/R-iXDgYd3ZZLBLiLEzxH9g,Untranslated,,
一个河北县城的防疫：建成隔离病区，医护缺乏专业口罩,"Epidemic Prevention in a Hebei County: Isolation Wards Built, Lack of Professional Masks for Medical Workers  ",https://mp.weixin.qq.com/s/K8K3KJiTbOhXW8_x_-eCJg,https://web.archive.org/web/20200203035126/https://mp.weixin.qq.com/s/K8K3KJiTbOhXW8_x_-eCJg,Untranslated,,
武汉某定点医院被隔离的医生：曾一晚接诊200名患者,A Quarantined Doctor at Designated Hospital in Wuhan: Once Treated 200 Patients a Night,https://mp.weixin.qq.com/s/W5_q5hIl2TXKjkwKPQj0Ng,https://web.archive.org/web/20200203035120/https://mp.weixin.qq.com/s/W5_q5hIl2TXKjkwKPQj0Ng,Untranslated,,
黄冈“小汤山”的志愿服务48小时,The 48 Hours of a Volunteer for Huanggang’s “Xiaotangshan” Hospital,https://mp.weixin.qq.com/s/FefTq9st-CqqEPTL02D-Kg,https://web.archive.org/save/https://mp.weixin.qq.com/s/FefTq9st-CqqEPTL02D-Kg,Untranslated,,
武汉医生驿站 ：为4万人次提供住宿 有退出也有坚守,"Wuhan Hotels for Doctors: Provided Accommodation for 40,000 People; Some Quit, Some Persisted.   ",https://mp.weixin.qq.com/s/9xE1nK4DkFcutVCsG7WNaA,https://web.archive.org/save/https://mp.weixin.qq.com/s/9xE1nK4DkFcutVCsG7WNaA,Untranslated,,
武汉定点医院一床难求，患者居家用衣柜隔离 ,A Shortage of Beds at Wuhan’s Designated Hospitals: Patients Use Closet to Stay Isolated at Home ,https://mp.weixin.qq.com/s/p45GBxC_Nm1lcZJg1hf6ZA,https://web.archive.org/save/https://mp.weixin.qq.com/s/p45GBxC_Nm1lcZJg1hf6ZA,Untranslated,,
失控的野味 ,The Out-Of-Control Game Meat ,https://mp.weixin.qq.com/s/3Cxd9SKzxIxZIOKp6uz-VQ,,Untranslated,,
暴风眼中的武汉 ,Wuhan Under the Eye of the Storm ,https://mp.weixin.qq.com/s/W0sY-XHFBcp382BKWSi90w,https://web.archive.org/save/https://mp.weixin.qq.com/s/W0sY-XHFBcp382BKWSi90w,Untranslated,,
直面新型肺炎，“刀尖上”的医护人员,"Facing 2019-nCoV, the Medical Staff “on the Tip of the Knife” ",https://mp.weixin.qq.com/s/A6J-kpsOfdrB0z9gcYoffg,https://web.archive.org/save/https://mp.weixin.qq.com/s/A6J-kpsOfdrB0z9gcYoffg,Untranslated,,
新型肺炎阴影下，迅速应对的香港,Hong Kong Responds Quickly as 2019-nCoV Looms ,https://mp.weixin.qq.com/s/ItZEUJcvppAnlcVYQUPV5Q,https://web.archive.org/save/https://mp.weixin.qq.com/s/ItZEUJcvppAnlcVYQUPV5Q,Untranslated,,
武汉之外湖北多地医用物资告急：口罩最缺，根本买不到,Urgent Medical Supplies Shortage in Hubei Outside Wuhan: Among Them Masks Are Scarcest,https://mp.weixin.qq.com/s/RKnxbAn95LLyucx1Ms-FOQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/RKnxbAn95LLyucx1Ms-FOQ,Untranslated,,
直击肺炎：有人囤货涨价用现金交易，线上断货线下断供 ,"Direct Reporting on Pneumonia: Some People Stockpile Supplies, Raise Prices and Only Accept Cash; Online out of Stock, Offline out of Supplies",https://mp.weixin.qq.com/s/V7snceHLfx3SK6XiLNZu9Q,https://web.archive.org/web/20200203040434/https://mp.weixin.qq.com/s/V7snceHLfx3SK6XiLNZu9Q,Untranslated,,
小城肺炎防疫父女战：戴口罩小题大做，怕被认出来“丢人”,A Fight Between Father and Daughter in a Small Town’s Epidemic Prevention Battle: Afraid of “Losing Face” for Wearing Masks ,https://mp.weixin.qq.com/s/kgc08lqpBEEyVyz1qI8w1Q,https://web.archive.org/save/https://mp.weixin.qq.com/s/kgc08lqpBEEyVyz1qI8w1Q,Untranslated,,
武汉被感染护士康复后返岗，隔离前曾给家人留“遗书” ,Infected Nurse in Wuhan Returned to Work After Recovery: Once Left Family Members Her Will Before Quarantine ,https://mp.weixin.qq.com/s/fRvkZpRSof3zjMz5QAsMDg,https://web.archive.org/save/https://mp.weixin.qq.com/s/fRvkZpRSof3zjMz5QAsMDg,Untranslated,,
他离华南海鲜市场仅10分钟车程，一份来自疫区核心的市民观察,He’s Only a 10-Minute Drive From South China Seafood Market: A Resident’s Observation From the Center of the Epidemic ,https://mp.weixin.qq.com/s/U6SUB9gqdClKd1-jmSLxxQ,https://web.archive.org/save/https://mp.weixin.qq.com/s/U6SUB9gqdClKd1-jmSLxxQ,Untranslated,,
“一家三口都感染上了，能不能卖给我”？意外走红的抗艾药 ,"“Our Family of Three Are All Infected, Can You Sell It to Me?” The Unexpected Popularity of HIV Drugs ",https://mp.weixin.qq.com/s/fBnEIhYhUc8UfLHXZ4O8aA,https://web.archive.org/save/https://mp.weixin.qq.com/s/fBnEIhYhUc8UfLHXZ4O8aA),In Progress,,
天价口罩背后：原料价一天一涨，不惜亏本生产 ,Behind Masks’ Sky-High Price: Raw Material Prices Go up Every Day but Production Continues at Any Cost  ,https://mp.weixin.qq.com/s/n5hZE4rlszGiu6ra3jzXgg,https://web.archive.org/save/https://mp.weixin.qq.com/s/n5hZE4rlszGiu6ra3jzXgg,Untranslated,,
